rev_name,artist,rev_art_score
jascha hoffman,savath y savalas,6.9
jason crock,coliseum,6.84440298507462
jason heller,neurosis,7.15267857142857
jason josephes,the kinks,7.41666666666667
jason nickey,the impossible shapes,6.61692307692308
jay balfour,jay daniel,6.73684210526316
jayson greene,various artists,7.10635451505017
jazz monroe,katie dey,6.73157894736842
jedediah gilchrist,weird war,4.66666666666667
jeff leven,calla,7.25
jeff weiss,michael jackson,8.1125
jenn pelly,"kleenex, liliput",8.05609756097561
jeremy d. larson,unknown mortal orchestra,6.9030303030303
jeremy gordon,red hot chili peppers,7.0
jeremy larson,ghost wave,6.4
jeremy schneyer,superchunk,7.27142857142857
jes skolnik,body/head,7.265
jess harvell,pig destroyer,7.08498168498169
jesse fahnestock,"beth gibbons, rustin man",6.15
jesse jarnow,bob dylan,8.19090909090909
jessica hopper,grimes,7.30714285714286
jessica suarez,maria minerva,7.15263157894737
jia tolentino,laura mvula,6.18888888888889
jillian mapes,weyes blood,7.53333333333333
joe colly,nguzunguzu,6.93853211009175
joe tangari,various artists,7.37487745098039
joel oliphint,doe paoro,6.74615384615385
john dark,red monkey,6.408
john everhart,lou barlow,7.1
john motley,swan island,6.71212121212121
john o'connor,starsailor,5.35714285714286
john s.w. macdonald,the men,6.63333333333333
johnny loftus,richie hawtin,6.63191489361702
jonah bromwich,nxworries,6.86666666666667
jonathan bernstein,gillian welch,7.86666666666667
jonathan garrett,lazer crystal,6.02857142857143
jonathan k. dick,false,7.76666666666667
jonathan patrick,yaroze dream suite,7.35
jonathan zwickel,monk parker,7.33829787234042
jonny pietin,i am the world trade center,6.55
jordan sargent,action bronson,6.4864406779661
josh love,lissy trullie,7.0
joshua klein,cee-lo green,6.70092165898618
joshua love,laura veirs,6.34205607476635
jt ramsay,kevin blechdom,6.25
judson picco,kaki king,5.98571428571429
judy berman,grumbling fur,7.6
julian kimble,knxwledge,6.98
julianne escobedo shepherd,janet jackson,6.95135135135135
kasia galazka,woodpigeon,5.725
katherine st asaph,sally shapiro,6.45
katherine st. asaph,little simz,6.63653846153846
kathy iandoli,snoop dogg,6.55555555555556
keith brasel,dj jester,7.0
kevin adickes,electric soft parade,6.42333333333333
kevin lozano,taso,6.97254901960784
kevin lozano ,egisto macchi,6.9
kim fing shannon,"masami akita, russell haswell",5.9
kim kelly,electric wizard,7.28387096774194
kim shannon,james chance,7.26
kris ex,a tribe called quest,7.68
kris ex ,kendrick lamar,8.6
kristin sage rockermann,loscil,6.20625
kristin sage rockermann & chip chanko,ted leo and the pharmacists,8.5
kyle kramer,boots,6.56153846153846
kyle reiter,photon band,5.875
larry fitzmaurice,bing & ruth,6.97511520737327
laura snapes,kate bush,6.98653846153846
lawrence burney,rahel,6.7
leonard pierce,mono,7.4
leor galil,dj spinn,7.3
liam singer,iqu,7.71785714285714
lindsay hood,britta phillips,6.425
lindsay zoladz,craig leon,7.33760683760684
lisa blanning,james ferraro,7.1
liz colville,sisters,6.3433962264151
liz pelly,broken water,7.36666666666667
loren ludwig & jascha hoffman,ratatat,8.4
louis pattison,various artists,7.17368421052632
luke buckman,the notwist,8.2
malcolm seymour iii,cex,6.09
marc hogan,kacey musgraves,6.60410022779044
marc masters,harry bertoia,7.46891025641026
marcus j. moore,yasiin bey,7.16279069767442
marcus k. dowling,kadhja bonet,7.15
maria sherman,the goon sax,7.0
mark martelli,ghost cauldron,6.196875
mark pytlik,fort romeau,6.98018867924528
mark richard-san,seor coconut,7.25777777777778
mark richard-san & ryan schreiber,at the drive-in,6.1
mark richardson,burial,7.57857142857143
mark richardson & nick sylvester,"au, reynols, erdem helvacioglu, chris delaurenti, matmos",7.3
martin clark,roll deep,8.5
martin douglas,ex-cult,7.14782608695652
matt kallman,cunninlynguists,7.15
matt lemay,m83,7.30816326530612
matt stephens,tangiers,5.16666666666667
matt wellins,"mimeo, john tilbury",8.7
matthew grosinger,the dean ween group,6.65
matthew ismael ruiz,meek mill,7.5
matthew murphy,meg baird,7.27007299270073
matthew perpetua,metric,6.67
matthew ramirez,post malone,6.39310344827586
matthew schnipper,dj snake,7.13333333333333
matthew solarski,laura gibson,7.26818181818182
matthew stephens,sam roberts,8.15
matthew strauss,kid cudi,6.58666666666667
matthew wellins,gold chains,5.58
maud deitch,jessy lanza,5.74
maura johnston,prince,10.0
max mertens,freddie gibbs,7.3
meaghan garvey,jeremih,7.13513513513514
meg zamula,future bible heroes,6.88571428571429
mehan jayasuriya,nick hook,6.51538461538462
melody lau,anamai,6.6
mia clarke,babatunde olatunji,7.36153846153846
mia lily clarke,hush arbors,7.28888888888889
michael bernstein,pixeltan,7.65
michael idov,milosh,6.13888888888889
michael j. agovino,miles davis quintet,7.95
michael sandlin,luna,5.73684210526316
michael wartenbe,pluramon,7.6
mike bernstein,royal trux,8.4
mike madden,slum village,6.7375
mike mcgonigal,alasdair roberts,7.95384615384615
mike orme,trentemller,6.86111111111111
mike powell,washington phillips,7.3275
miles raymer,his name is alive,7.11747572815534
minna zhou,jubilee,7.08
