s_name,s_artist,s_energy,s_genre
,,,
All U Writers,!!!,0.814,Electronic
Californiyeah,!!!,0.65,Electronic
Dear Can,!!!,0.876,Electronic
Even When The Water's Cold,!!!,0.831,Alternative
Five Companies,!!!,0.744,Electronic
Funk (I Got This),!!!,0.546,Electronic
Get That Rhythm Right,!!!,0.798,Electronic
Hello? Is This Thing On?,!!!,0.677,Electronic
Lucy Mongoosey,!!!,0.584,Electronic
Me and Guiliani Down by the School Yard - A True Story,!!!,0.81,Electronic
Must Be The Moon,!!!,0.886,Electronic
Myth Takes,!!!,0.77,Electronic
NRGQ,!!!,0.889,Electronic
One Girl / One Boy,!!!,0.851,Electronic
Ooo,!!!,0.839,Electronic
Our Love (U Can Get),!!!,0.909,Electronic
Pardon My Freedom,!!!,0.893,Electronic
R Rated Pictures,!!!,0.721,Electronic
Sick Ass Moon,!!!,0.83,Electronic
Slyd,!!!,0.717,Electronic
Throw Yourself In The River,!!!,0.855,Electronic
"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)","""Weird Al"" Yankovic",0.448,Rock
Billy Boy,$NOT,0.62,Hip-Hop
Excuse Me,$NOT,0.306,Hip-Hop
GOSHA,$NOT,0.462,Hip-Hop
Mando (feat. Mozzy),$tupid Young,0.663,Rap
#1 Stunna,$uicideBoy$,0.489,Hip-Hop
$outh $ide $uicide,$uicideBoy$,0.516,Hip-Hop
"10,000 Degrees",$uicideBoy$,0.727,Hip-Hop
122 Days,$uicideBoy$,0.381,Hip-Hop
20th CENTURION,$uicideBoy$,0.74,Rap
275 $uicide,$uicideBoy$,0.842,Hip-Hop
2nd Hand,$uicideBoy$,0.422,Hip-Hop
A Girl Named Drool And A Pack of Kools,$uicideBoy$,0.491,Hip-Hop
AM/PM,$uicideBoy$,0.555,Hip-Hop
BREAKDALAW2K16,$uicideBoy$,0.684,Hip-Hop
Bring Out Your Dead,$uicideBoy$,0.896,Rap
Carrollton,$uicideBoy$,0.52,Rap
Champion Of Death,$uicideBoy$,0.918,Rap
Cherish The Dead,$uicideBoy$,0.564,Hip-Hop
Cherry P.I.E.,$uicideBoy$,0.673,Hip-Hop
Cold Turkey,$uicideBoy$,0.67,Hip-Hop
Coma,$uicideBoy$,0.791,Hip-Hop
Do You Believe In God?,$uicideBoy$,0.534,Hip-Hop
Eclipse,$uicideBoy$,0.603,Hip-Hop
Either Hated Or Ignored,$uicideBoy$,0.749,Rap
Elysian Fields,$uicideBoy$,0.717,Hip-Hop
FUCK,$uicideBoy$,0.738,Hip-Hop
FUCKALLOFYOU2K18,$uicideBoy$,0.745,Rap
FUCKTHEPOPULATION,$uicideBoy$,0.576,Rap
For The Last Time,$uicideBoy$,0.507,Hip-Hop
Gloss Of Blood,$uicideBoy$,0.416,Rap
Goosebumps,$uicideBoy$,0.742,Hip-Hop
HUNG UP ON THE COME UP,$uicideBoy$,0.817,Rap
I No Longer Fear The Razor Guarding My Heel (IV),$uicideBoy$,0.603,Hip-Hop
I Want To Believe,$uicideBoy$,0.819,Hip-Hop
I Will Celebrate For Stepping On Broken Glass And Slipping On Stomach Soaked Floors,$uicideBoy$,0.784,Hip-Hop
I'm Done.,$uicideBoy$,0.875,Rap
INTROVERSION 2.0,$uicideBoy$,0.737,Hip-Hop
Iron Veil,$uicideBoy$,0.582,Hip-Hop
Kill Yourself,$uicideBoy$,0.69,Hip-Hop
Kill Yourself (Part III),$uicideBoy$,0.679,Rap
King Tulip,$uicideBoy$,0.579,Hip-Hop
Krewe du Vieux (Comedy & Tragedy),$uicideBoy$,0.585,Hip-Hop
LTE,$uicideBoy$,0.486,Hip-Hop
Leave Your Things Behind II,$uicideBoy$,0.469,Hip-Hop
Long Gone (Save Me From This Hell),$uicideBoy$,0.632,Hip-Hop
Lucky Me,$uicideBoy$,0.619,Rap
Magazine,$uicideBoy$,0.897,Hip-Hop
Meet Mr. NICEGUY,$uicideBoy$,0.495,Hip-Hop
Memoirs Of A Gorilla,$uicideBoy$,0.981,Rap
Mount Sinai,$uicideBoy$,0.444,Rap
Muddy Blunts,$uicideBoy$,0.633,Hip-Hop
My Flaws Burn Through My Skin Like Demonic Flames from Hell,$uicideBoy$,0.737,Rap
My Scars Are Like Evidence Being Mailed To The Judge,$uicideBoy$,0.569,Hip-Hop
"New Chains, Same Shackles",$uicideBoy$,0.56,Hip-Hop
Nicotine Patches,$uicideBoy$,0.569,Hip-Hop
Nightmare Choir (I Been Asleep Too Long),$uicideBoy$,0.908,Hip-Hop
Now I'm Up To My Neck With Offers,$uicideBoy$,0.848,Hip-Hop
O' Lord! I Have My Doubts,$uicideBoy$,0.54,Hip-Hop
Obey The Walrus,$uicideBoy$,0.811,Rap
Paris,$uicideBoy$,0.648,Hip-Hop
Pictures,$uicideBoy$,0.689,Hip-Hop
Planting The Roots Only To Fall Out The Tree,$uicideBoy$,0.701,Hip-Hop
Reign In Blood,$uicideBoy$,0.684,Rap
Rotten And Paralyzed In A Tropical Paradise,$uicideBoy$,0.907,Hip-Hop
Sarcophagus III,$uicideBoy$,0.708,Rap
Say Cheese And Die,$uicideBoy$,0.806,Rap
Scrape,$uicideBoy$,0.727,Hip-Hop
Shattered Amethyst,$uicideBoy$,0.702,Rap
Slip On A Banana Clip,$uicideBoy$,0.783,Hip-Hop
Sunshine,$uicideBoy$,0.628,Rap
Tulane,$uicideBoy$,0.731,Hip-Hop
Uglier,$uicideBoy$,0.507,Rap
Ugly,$uicideBoy$,0.469,Hip-Hop
Ultimate $uicide,$uicideBoy$,0.78,Rap
Venom,$uicideBoy$,0.628,Rap
Vincent Van Gogh Ain't Got Shit On Me,$uicideBoy$,0.678,Hip-Hop
WAR TIME ALL THE TIME,$uicideBoy$,0.662,Hip-Hop
Water $uicide,$uicideBoy$,0.834,Hip-Hop
"Whoa, I'm Woeful",$uicideBoy$,0.578,Hip-Hop
You're Now Tuning Into 66.6 FM With DJ Rapture (The Hottest Hour Of The Evening),$uicideBoy$,0.774,Rap
Bartender,(Hed) P.E.,0.793,Alternative
Raise Hell,(Hed) P.E.,0.967,Alternative
Sarah (Bonus Track),(Sandy) Alex G,0.686,Alternative
Beat That Thang Down (feat. PNB Rock),03 Greedo,0.546,Hip-Hop
Never Bend,03 Greedo,0.561,Hip-Hop
Rude,03 Greedo,0.65,Hip-Hop
Run For Yo Life,03 Greedo,0.739,Rap
Milestone,04 Limited Sazabys,0.997,Anime
Squall,04 Limited Sazabys,0.995,Anime
Terminal,04 Limited Sazabys,0.973,Anime
happiness,04 Limited Sazabys,0.983,Anime
monolith,04 Limited Sazabys,0.965,Anime
swim,04 Limited Sazabys,0.944,Anime
夕凪,04 Limited Sazabys,0.99,Anime
Accusations,070 Shake,0.283,Rap
Glitter,070 Shake,0.622,Hip-Hop
Beautiful,10 Years,0.748,Alternative
Burnout,10 Years,0.924,Alternative
Fix Me,10 Years,0.84,Alternative
Novacaine,10 Years,0.865,Alternative
Waking Up,10 Years,0.79,Alternative
Wasteland,10 Years,0.801,Rap
Because The Night [MTV Unplugged Version],"10,000 Maniacs",0.79,Rock
Road to Burn,1000mods,0.684,Blues
Vidage,1000mods,0.722,Blues
I'm Not In Love,10cc,0.527,Rock
The Things We Do For Love,10cc,0.528,Rock
Let's Face It I'm Cute,11 Acorn Lane,0.817,Jazz
Perfect (Electro Swing Remix),11 Acorn Lane,0.868,Jazz
Time for Tea (Melbourne Swing Mix),11 Acorn Lane,0.871,Jazz
Anywhere,112,0.477,Rap
Dance with Me,112,0.511,Hip-Hop
It's over Now,112,0.71,Hip-Hop
Only You (feat. The Notorious B.I.G.) - Radio Mix,112,0.644,Rap
Only You-Bad Boy Remix (feat. The Notorious B.I.G. & Mase),112,0.525,Rap
Peaches & Cream (feat. P. Diddy),112,0.537,Hip-Hop
Peaches and Cream,112,0.52,Hip-Hop
Light Work,116,0.703,Hip-Hop
Flames,11:11,0.403,Alternative
Good Love,11:11,0.325,Alternative
Listen,11:11,0.327,Alternative
You,11:11,0.555,Alternative
Anthem For The Underdog,12 Stones,0.863,Alternative
Broken,12 Stones,0.946,Alternative
We Are One,12 Stones,0.969,Alternative
Forest Temple,12th Planet,0.942,Electronic
Hide It All - Bailo & Bite Me Remix,12th Planet,0.877,Electronic
Hide It All - Original,12th Planet,0.971,Electronic
Let Me Help You - Original,12th Planet,0.983,Electronic
Let Us Prey,12th Planet,0.896,Electronic
Lootin' 92 - Champagne Drip Remix,12th Planet,0.802,Electronic
Mmm Good,12th Planet,0.99,Electronic
Send It,12th Planet,0.929,Electronic
Sooo Sick,12th Planet,0.903,Electronic
Swamplex Terrestrial,12th Planet,0.974,Electronic
Whoops (feat. Pennybirdrabbit),12th Planet,0.93,Electronic
Meimou Shounen To Shousekai,164,0.992,Anime
Sleeping Beauty,164,0.755,Anime
A S T R A Y / R,1788-L,0.771,Electronic
F U L L / B U R S T,1788-L,0.646,Electronic
Pulsar Beam,1788-L,0.933,Electronic
How We Coming,1K Phew,0.681,Hip-Hop
We Did It,1K Phew,0.534,Hip-Hop
Arco,1takejay,0.58,Rap
To Da Neck,1takejay,0.577,Rap
4:00 am,2 Chainz,0.5,Hip-Hop
Bailan,2 Chainz,0.738,Hip-Hop
Big Amount,2 Chainz,0.829,Hip-Hop
Birthday Song,2 Chainz,0.59,Hip-Hop
El Chapo Jr,2 Chainz,0.689,Hip-Hop
Forgiven (feat. Marsha Ambrosius),2 Chainz,0.523,Hip-Hop
Girl's Best Friend (feat. Ty Dolla $ign),2 Chainz,0.428,Hip-Hop
Good Drank,2 Chainz,0.776,Hip-Hop
Gotta Lotta,2 Chainz,0.608,Hip-Hop
High Top Versace (feat. Young Thug),2 Chainz,0.591,Hip-Hop
Hot Wings,2 Chainz,0.646,Hip-Hop
I'm Different,2 Chainz,0.702,Rap
"I'm Not Crazy, Life Is (feat. Chance The Rapper, Kodak Black)",2 Chainz,0.639,Hip-Hop
It's A Vibe,2 Chainz,0.505,Hip-Hop
MFN Right,2 Chainz,0.328,Hip-Hop
MFN Right - Remix,2 Chainz,0.336,Hip-Hop
Momma I Hit A Lick (feat. Kendrick Lamar),2 Chainz,0.467,Hip-Hop
Money In The Way,2 Chainz,0.793,Hip-Hop
NCAA,2 Chainz,0.641,Hip-Hop
No Lie,2 Chainz,0.665,Rap
OG Kush Diet,2 Chainz,0.632,Hip-Hop
OK BITCH,2 Chainz,0.559,Hip-Hop
Poor Fool,2 Chainz,0.615,Rap
Realize,2 Chainz,0.553,Hip-Hop
Riverdale Rd,2 Chainz,0.652,Hip-Hop
Rolls Royce Bitch,2 Chainz,0.728,Hip-Hop
Rule The World (feat. Ariana Grande),2 Chainz,0.584,Hip-Hop
Sam,2 Chainz,0.698,Rap
Saturday Night,2 Chainz,0.805,Hip-Hop
Smell Like Money,2 Chainz,0.771,Hip-Hop
Trap Check,2 Chainz,0.672,Hip-Hop
Used 2,2 Chainz,0.919,Hip-Hop
Whip (feat. Travis Scott),2 Chainz,0.399,Hip-Hop
Me So Horny,2 LIVE CREW,0.727,Hip-Hop
We Want Some P--sy,2 LIVE CREW,0.519,Hip-Hop
1.5,21 Savage,0.52,Rap
4L,21 Savage,0.41,Rap
Bad Business,21 Savage,0.54,Hip-Hop
Bad Guy,21 Savage,0.405,Hip-Hop
Bank Account,21 Savage,0.346,Rap
Darth Vader,21 Savage,0.284,Rap
Dead People,21 Savage,0.521,Hip-Hop
Disrespectful,21 Savage,0.381,Hip-Hop
Famous,21 Savage,0.597,Rap
Ghostface Killers,21 Savage,0.436,Rap
Mad High,21 Savage,0.737,Hip-Hop
Mad Stalkers,21 Savage,0.365,Hip-Hop
My Choppa Hate Niggas,21 Savage,0.274,Rap
No Heart,21 Savage,0.444,Hip-Hop
Numb,21 Savage,0.437,Hip-Hop
Ocean Drive,21 Savage,0.525,Rap
Red Opps,21 Savage,0.709,Hip-Hop
Run Up the Racks,21 Savage,0.364,Hip-Hop
Thug Life,21 Savage,0.467,Rap
Whole Lot,21 Savage,0.537,Hip-Hop
a lot,21 Savage,0.636,Rap
a&t,21 Savage,0.567,Rap
asmr,21 Savage,0.543,Hip-Hop
ball w/o you,21 Savage,0.633,Rap
break da law,21 Savage,0.575,Hip-Hop
good day,21 Savage,0.519,Hip-Hop
letter 2 my momma,21 Savage,0.608,Rap
monster,21 Savage,0.607,Hip-Hop
out for the night,21 Savage,0.695,Rap
out for the night - part 2,21 Savage,0.632,Hip-Hop
pad lock,21 Savage,0.55,Rap
Spin the Block (feat. Kodak Black),22Gz,0.902,Rap
Fitness (feat. Wiz Khalifa),24hrs,0.579,Hip-Hop
Lie Detector (feat. Lil Pump),24hrs,0.829,Hip-Hop
ANXIOUS,27CLUB,0.449,Rap
Amaka,2Baba,0.698,Hip-Hop
2 Of Amerikaz Most Wanted - Album Version (Edited),2Pac,0.836,Rap
All About U,2Pac,0.792,Hip-Hop
All Eyez On Me,2Pac,0.719,Rap
Ballad Of A Dead Soulja,2Pac,0.856,Rap
Better Dayz,2Pac,0.732,Hip-Hop
Breathin,2Pac,0.728,Rap
California Love (remix),2Pac,0.843,Rap
California Love - Original Version,2Pac,0.847,Rap
Can't C Me,2Pac,0.852,Hip-Hop
Changes - Greatest Hits Version,2Pac,0.676,Hip-Hop
Check Out Time,2Pac,0.703,Rap
Dear Mama,2Pac,0.542,Hip-Hop
Dumpin',2Pac,0.819,Rap
Got My Mind Made Up,2Pac,0.897,Rap
Hail Mary,2Pac,0.638,Hip-Hop
Hail Mary - (Explicit),2Pac,0.651,Hip-Hop
Heartz Of Men,2Pac,0.773,Rap
Holla At Me,2Pac,0.929,Rap
How Do U Want It,2Pac,0.82,Hip-Hop
I Ain't Mad At Cha,2Pac,0.679,Hip-Hop
I Get Around,2Pac,0.422,Rap
If I Die 2Nite,2Pac,0.732,Rap
It Ain't Easy,2Pac,0.788,Rap
Letter 2 My Unborn,2Pac,0.795,Rap
Life Goes On,2Pac,0.843,Hip-Hop
Me Against The World,2Pac,0.799,Rap
No More Pain,2Pac,0.906,Rap
Pac's Life,2Pac,0.902,Rap
Picture Me Rollin',2Pac,0.757,Hip-Hop
Ratha Be Ya N____,2Pac,0.558,Hip-Hop
Run Tha Streetz,2Pac,0.788,Hip-Hop
Shorty Wanna Be A Thug,2Pac,0.716,Hip-Hop
Skandalouz,2Pac,0.919,Rap
So Many Tears,2Pac,0.598,Hip-Hop
Soldier Like Me,2Pac,0.604,Rap
Temptations,2Pac,0.651,Rap
They Don't Give A F**** About Us,2Pac,0.739,Hip-Hop
Thug Passion,2Pac,0.8,Rap
Thugz Mansion - 7 Remix,2Pac,0.642,Hip-Hop
To Live & Die In L.A.,2Pac,0.86,Hip-Hop
Tradin War Stories,2Pac,0.802,Rap
Troublesome '96,2Pac,0.93,Hip-Hop
Until The End Of Time,2Pac,0.709,Hip-Hop
When We Ride,2Pac,0.836,Rap
Wonda Why They Call U B____,2Pac,0.876,Hip-Hop
If You Wouldn't Mind,2nd Exit,0.592,Jazz
Away From The Sun,3 Doors Down,0.686,Rock
Be Like That,3 Doors Down,0.702,Alternative
Behind Those Eyes,3 Doors Down,0.645,Alternative
Citizen/Soldier,3 Doors Down,0.821,Alternative
Here By Me,3 Doors Down,0.621,Alternative
Here Without You,3 Doors Down,0.55,Alternative
Here Without You - Acoustic,3 Doors Down,0.575,Alternative
In The Dark,3 Doors Down,0.947,Alternative
It's Not My Time,3 Doors Down,0.935,Rock
Kryptonite,3 Doors Down,0.865,Rock
Let Me Be Myself,3 Doors Down,0.675,Alternative
Loser,3 Doors Down,0.88,Alternative
The Road I'm On,3 Doors Down,0.687,Alternative
When I'm Gone,3 Doors Down,0.765,Alternative
Surround me with your love - Mental Overdrive remix,3-11 Porter,0.857,Jazz
'Til the City's On Fire,311,0.795,Alternative
Amber,311,0.727,Rock
Beautiful Disaster,311,0.738,Rock
Charge It Up,311,0.952,Alternative
Creatures (For a While),311,0.907,Alternative
Don't You Worry,311,0.789,Alternative
Down,311,0.922,Rock
Flowing,311,0.952,Alternative
Freeze Time,311,0.904,Alternative
Good Feeling,311,0.898,Alternative
Hey Yo,311,0.906,Alternative
I'll Be Here Awhile,311,0.877,Alternative
I'll Be Here While,311,0.877,Rock
Love Song,311,0.686,Alternative
Lucid Dreams,311,0.726,Alternative
Omaha Stylee,311,0.861,Alternative
Prisoner,311,0.699,Alternative
Sever,311,0.901,Alternative
Space and Time,311,0.917,Alternative
Stainless,311,0.855,Alternative
Too Late,311,0.943,Alternative
Too Much To Think,311,0.9,Alternative
Use Of Time,311,0.488,Alternative
What The?!,311,0.918,Alternative
Wildfire,311,0.936,Alternative
Back Where You Belong - Edited Version,38 Special,0.762,Country
Caught Up In You,38 Special,0.683,Rock
Hold On Loosely,38 Special,0.721,Country
Rockin' Into The Night,38 Special,0.492,Country
Second Chance,38 Special,0.429,Country
Arcana,3LAU,0.898,Electronic
Bang - Tiësto Bootleg Radio Edit,3LAU,0.797,Electronic
Close,3LAU,0.811,Electronic
Close - Price & Takis Remix,3LAU,0.842,Electronic
Fire,3LAU,0.645,Electronic
Fire - Paris Blohm Remix,3LAU,0.925,Electronic
Fire - Price & Takis Remix,3LAU,0.845,Electronic
Game Time (feat. Ninja),3LAU,0.957,Electronic
On My Own,3LAU,0.855,Electronic
Star Crossed,3LAU,0.896,Electronic
The Night - Ak9 Remix,3LAU,0.833,Electronic
Touch - Zeds Dead Remix,3LAU,0.789,Electronic
Walk Away,3LAU,0.818,Electronic
Worlds Away,3LAU,0.866,Electronic
Would You Understand (feat. Carly Paige),3LAU,0.722,Electronic
You Want More,3LAU,0.761,Electronic
DONTTRUSTME,3OH!3,0.713,Rap
My First Kiss - feat. Ke$ha,3OH!3,89.0,dance pop
STARSTRUKK (feat. KATYPERRY),3OH!3,0.805,Rap
Bridge Of Dreams,3rd Force,0.621,Jazz
Emotional scars Monochrome,40mP,0.912,Anime
Feering Thief,40mP,0.93,Anime
Karakuri Pierrot,40mP,0.871,Anime
Love Trial,40mP,0.851,Anime
Noise of Rain,40mP,0.954,Anime
Snow Fairy Story (オーケストラ ver.),40mP,0.49,Anime
The Flower of Raison D'etre,40mP,0.96,Anime
からくりピエロ -初音ミク「マジカルミライ 2014」Live-,40mP,0.855,Anime
トリノコシティ -MIKU EXPO 2014 in INDONESIA Live-,40mP,0.954,Anime
夢地図 (feat.GUMI),40mP,0.936,Anime
Ice Cold,4B,0.813,Electronic
Ice Cold (Junkie Kid Remix),4B,0.748,Electronic
Love Is Dead - LNY TNZ Remix,4B,0.981,Electronic
Pop Dat,4B,0.851,Electronic
She Looks So Perfect,5 Seconds of Summer,95.0,boy band
21 Questions,50 Cent,0.807,Hip-Hop
Ayo Technology,50 Cent,0.774,Hip-Hop
Back Down,50 Cent,0.652,Hip-Hop
Best Friend,50 Cent,0.637,Hip-Hop
Candy Shop,50 Cent,0.574,Hip-Hop
Disco Inferno,50 Cent,0.659,Rap
Don't Push Me,50 Cent,0.79,Rap
Get In My Car,50 Cent,0.866,Hip-Hop
Hate It Or Love It - G-Unit Remix,50 Cent,0.76,Hip-Hop
Heat,50 Cent,0.968,Hip-Hop
High All The Time,50 Cent,0.909,Rap
Hustler's Ambition,50 Cent,0.673,Hip-Hop
I'll Still Kill,50 Cent,0.727,Hip-Hop
I'm Supposed To Die Tonight,50 Cent,0.72,Rap
I'm The Man,50 Cent,0.44,Hip-Hop
I'm The Man - Remix,50 Cent,0.5,Hip-Hop
If I Can't,50 Cent,0.64,Hip-Hop
In Da Club,50 Cent,0.73,Rap
In My Hood,50 Cent,0.727,Hip-Hop
Many Men (Wish Death),50 Cent,0.841,Hip-Hop
My Life,50 Cent,0.932,Rap
No Romeo No Juliet,50 Cent,0.602,Rap
Outta Control - Remix,50 Cent,0.587,Hip-Hop
P.I.M.P.,50 Cent,0.785,Rap
Patiently Waiting,50 Cent,0.688,Rap
Still Think I'm Nothing (feat. Jeremih),50 Cent,0.72,Hip-Hop
Straight To The Bank,50 Cent,0.849,Hip-Hop
Too Rich For The Bitch,50 Cent,0.415,Hip-Hop
"Wanksta - From ""8 Mile"" Soundtrack",50 Cent,0.868,Rap
What Up Gangsta,50 Cent,0.772,Rap
When It Rains It Pours,50 Cent,0.735,Hip-Hop
Window Shopper,50 Cent,0.628,Rap
Faygo Dreams,6 Dogs,0.66,Hip-Hop
Flossing,6 Dogs,0.386,Hip-Hop
Full Throttle,6 Dogs,0.418,Hip-Hop
Gucci Panda,6 Dogs,0.434,Rap
Off The Gas (feat. Lil Skies),6 Dogs,0.42,Hip-Hop
Scar,6 Dogs,0.425,Rap
Someone,6 Dogs,0.445,Hip-Hop
Spaceship,6 Dogs,0.281,Rap
Think A Lot,6 Dogs,0.385,Hip-Hop
Plane Crazy,641,0.697,Country
Hypersleep,65daysofstatic,0.369,Rock
Alone / EA6,6LACK,0.66,Alternative
Balenciaga Challenge (feat. Offset),6LACK,0.404,Alternative
Been A While,6LACK,0.463,Alternative
Cutting Ties,6LACK,0.601,Alternative
Disconnect,6LACK,0.337,Alternative
East Atlanta Love Letter (feat. Future),6LACK,0.304,Hip-Hop
Ex Calling,6LACK,0.564,Alternative
Gettin' Old,6LACK,0.4,Alternative
In Between (feat. BANKS) - Bonus,6LACK,0.573,Alternative
Learn Ya,6LACK,0.527,Alternative
Let Her Go,6LACK,0.62,Hip-Hop
Loaded Gun,6LACK,0.545,Hip-Hop
Luving U,6LACK,0.471,Rap
MTFU,6LACK,0.488,Alternative
Never Know,6LACK,0.571,Rap
Nonchalant,6LACK,0.378,Alternative
One Way (feat. T-Pain) - Bonus,6LACK,0.406,Alternative
PRBLMS,6LACK,0.58,Alternative
Pretty Little Fears (feat. J. Cole),6LACK,0.466,Alternative
Rules,6LACK,0.758,Hip-Hop
Scripture,6LACK,0.606,Rap
Seasons (feat. Khalid),6LACK,0.335,Alternative
Sorry,6LACK,0.43,Alternative
Switch,6LACK,0.664,Hip-Hop
Switch - DEVAULT Remix,6LACK,0.836,Alternative
That Far,6LACK,0.603,Rap
Unfair,6LACK,0.266,Alternative
Worst Luck,6LACK,0.518,Alternative
Bozoo,6ix9ine,0.914,Rap
FEEFA (feat. Gunna),6ix9ine,0.728,Rap
GOTTI,6ix9ine,0.584,Rap
KEKE,6ix9ine,0.857,Rap
KIKA (feat. Tory Lanez),6ix9ine,0.715,Rap
MALA (feat. Anuel Aa),6ix9ine,0.825,Rap
MOOKY,6ix9ine,0.876,Rap
STOOPID (feat. Bobby Shmurda),6ix9ine,0.63,Rap
TATI (feat. DJ SpinKing),6ix9ine,0.767,Rap
TIC TOC (feat. Lil Baby),6ix9ine,0.691,Rap
WAKA (feat. A Boogie Wit da Hoodie),6ix9ine,0.812,Rap
WONDO,6ix9ine,0.853,Rap
Douai Charleston,6u5,0.81,Jazz
Meth Lab Zoso Sticker,7Horse,0.945,Blues
VictorioUS,7Horse,0.765,Blues
God Is on the Move,7eventh Time Down,0.884,Rock
The 99,7eventh Time Down,0.649,Alternative
In Yer Face - Bicep Remix,808 State,0.895,Electronic
12,88GLAM,0.557,Hip-Hop
Baby Bro,88GLAM,0.663,Hip-Hop
Bali,88GLAM,0.503,Hip-Hop
Big Ship,88GLAM,0.64,Hip-Hop
Blue Faces,88GLAM,0.455,Rap
Cake,88GLAM,0.539,Hip-Hop
Drop Top,88GLAM,0.667,Hip-Hop
Ice On My Leash,88GLAM,0.656,Hip-Hop
It's A Flex (feat. NAV),88GLAM,0.554,Rap
Kawasaki,88GLAM,0.527,Hip-Hop
Kitchen Witch,88GLAM,0.742,Hip-Hop
Kyrie,88GLAM,0.63,Rap
Lavish,88GLAM,0.57,Hip-Hop
Lil Boat,88GLAM,0.672,Hip-Hop
Lil Boat (feat. Lil Yachty) - Remix,88GLAM,0.678,Hip-Hop
Purple Baguettes,88GLAM,0.43,Rap
Racks (feat. Gunna),88GLAM,0.478,Hip-Hop
Ricardo,88GLAM,0.384,Hip-Hop
Snow Globe,88GLAM,0.595,Rap
FRIDAY,916frosty,0.683,Rap
ChunkySoul!!!,9th Wonder,0.611,Hip-Hop
96 Tears,? & The Mysterians,0.562,Rock
1hunnit,A Boogie Wit da Hoodie,0.481,Rap
Artist,A Boogie Wit da Hoodie,0.823,Rap
Bad Girl (feat. Trey Songz & Robin Thicke),A Boogie Wit da Hoodie,0.589,Rap
Best Friend (feat. Tory Lanez),A Boogie Wit da Hoodie,0.525,Rap
Bosses and Workers (feat. Don Q and Trap Manny),A Boogie Wit da Hoodie,0.605,Rap
D.T.B. - Interlude,A Boogie Wit da Hoodie,0.851,Rap
Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,0.55,Rap
Déjà Vu (feat. J Alvarez),A Boogie Wit da Hoodie,0.687,Rap
Friend Zone,A Boogie Wit da Hoodie,0.608,Rap
Fucking & Kissing (feat. Chris Brown),A Boogie Wit da Hoodie,0.53,Rap
I Did It,A Boogie Wit da Hoodie,0.454,Rap
I Know What's Real,A Boogie Wit da Hoodie,0.465,Rap
If I Gotta Go,A Boogie Wit da Hoodie,0.542,Rap
Jungle,A Boogie Wit da Hoodie,0.52,Rap
Just Like Me (feat. Young Thug),A Boogie Wit da Hoodie,0.623,Rap
MIA (feat. Kap G),A Boogie Wit da Hoodie,0.613,Rap
Macaroni,A Boogie Wit da Hoodie,0.653,Rap
Money Sprung (feat. Don Q),A Boogie Wit da Hoodie,0.556,Rap
My Shit,A Boogie Wit da Hoodie,0.621,Rap
Need A Best Friend (feat. Lil Quee and Quando Rondo),A Boogie Wit da Hoodie,0.52,Rap
No Comparison,A Boogie Wit da Hoodie,0.517,Rap
Odee,A Boogie Wit da Hoodie,0.48,Rap
Pretending (feat. Jessie Reyez),A Boogie Wit da Hoodie,0.558,Rap
Savage,A Boogie Wit da Hoodie,0.402,Rap
Say A',A Boogie Wit da Hoodie,0.814,Rap
Somebody (feat. Don Q),A Boogie Wit da Hoodie,0.732,Rap
Still Think About You,A Boogie Wit da Hoodie,0.646,Rap
Timeless (DJ SPINKING),A Boogie Wit da Hoodie,0.761,Rap
Undefeated (feat. 21 Savage),A Boogie Wit da Hoodie,0.753,Rap
Uptown / Bustdown (feat. PnB Rock and Lil Durk),A Boogie Wit da Hoodie,0.751,Rap
Voices In My Head,A Boogie Wit da Hoodie,0.663,Rap
I Ran,A Flock Of Seagulls,0.815,Rock
I Ran (So Far Away),A Flock Of Seagulls,0.642,Rock
Rebirth,A Forest Mighty Black,0.855,Jazz
Hold Each Other,A Great Big World,0.796,Rock
Say Something,A Great Big World,15.0,neo mellow
You,A Great Big World,0.31,Rock
3 Libras,A Perfect Circle,0.743,Rap
By And Down The River,A Perfect Circle,0.641,Rock
Counting Bodies Like Sheep To The Rhythm Of The War Drums,A Perfect Circle,0.938,Rock
DLB,A Perfect Circle,0.183,Alternative
Delicious,A Perfect Circle,0.833,Alternative
Disillusioned,A Perfect Circle,0.634,Alternative
Eat The Elephant,A Perfect Circle,0.527,Alternative
Hourglass,A Perfect Circle,0.721,Rock
Judith,A Perfect Circle,0.894,Alternative
Magdalena,A Perfect Circle,0.603,Alternative
Passive,A Perfect Circle,0.71,Alternative
Pet,A Perfect Circle,0.806,Alternative
"So Long, And Thanks For All The Fish",A Perfect Circle,0.873,Alternative
TalkTalk,A Perfect Circle,0.738,Alternative
The Contrarian,A Perfect Circle,0.682,Alternative
The Doomed,A Perfect Circle,0.903,Rap
The Hollow,A Perfect Circle,0.789,Rock
The Noose,A Perfect Circle,0.409,Alternative
The Outsider,A Perfect Circle,0.842,Alternative
The Package,A Perfect Circle,0.397,Rock
Thinking Of You,A Perfect Circle,0.872,Alternative
Vanishing,A Perfect Circle,0.583,Alternative
Weak And Powerless,A Perfect Circle,0.841,Alternative
Ain't Gonna Leave,A R I Z O N A,0.658,Rock
